MAL_ID,Name,Type,Producers,Studios,Source,Rating,Popularity,Final_Score,Genre+Synopsis,Cluster
21,One Piece,TV,"Fuji TV, TAP, Shueisha",Toei Animation,Manga,PG-13 - Teens 13 or older,31,3064.405473684211,"The world of tennis is harsh and highly competitive. Numerous schools from Japan battle it out to determine the best of the best. Seishun Gakuen Junior High School, more commonly known as Seigaku, is one of the most prominent contestants in this battle of the finest. Their team line-up gets even stronger with the sudden arrival of a young prodigy from the West, Ryouma Echizen, who is determined to prove himself and escape the towering shadow of his legendary father. This fine addition changes the team forever. Prince of Tennis follows the heartwarming and inspirational story of Ryouma on his quest to become one of the best tennis players the country has ever seen. He pushes himself hard so that he can one day surpass his father’s name and his own personal expectations. Alongside the rest of the Seigaku team, Ryouma fights to make his and his teammate's dreams come true.|Action, Comedy, Sports, School, Shounen",6
22,Tennis no Ouji-sama,TV,"Production I.G, Nihon Ad Systems",Trans Arts,Manga,PG-13 - Teens 13 or older,1039,72.15125925925926,"Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight. School Rumble is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire.|Comedy, Romance, School, Shounen",6
24,School Rumble,TV,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,Manga,PG-13 - Teens 13 or older,514,171.895584,"Texhnolyze takes place in the city of Lux, a man-made underground city that has crumbled after years of neglect and lack of repairs. Citizens of Lux have come to refer to their home as simply ""The City"" and treat it as though it has a mind and will of its own. Three major factions battle to control Lux: Organo, a group of ""professionals"" who collaborate with the criminal underworld that controls Texhnolyze (prosthetics), the Salvation Union, a populist group that seeks to disrupt Organo's business, and Racan, a collection of young individuals with Texhnolyzes that use their abilities for personal gain. Ichise was once an orphan who has made a place for himself in Lux as a prize fighter. One day, a fight promoter grows angry with him and the altercation that follows results in Ichise losing an arm and a leg. Before death can take him, Ichise is found by the scientist Eriko Kamata, who uses him as a test subject for her newly designed Texhnolyze. With these powerful new limbs at his disposal, Ichise begins to work for Oonishi, the leader of Organo. He soon meets a mysterious young girl, Ran, who has the power to see possible futures. Together, they soon realize that Lux is on the brink of war and collapse, and that they may be the only ones who can save The City.|Action, Sci-Fi, Psychological, Drama",2
25,Sunabouzu,TV,"GDH, Pony Canyon, CBC",Gonzo,Manga,R - 17+ (violence & profanity),1284,20.533524945770065,"hile countries such as France, England, and Germany all have their own internationally celebrated bread, Japan simply does not have one that can match in reputation. Thus after discovering the wonders of breadmaking at a young age, Kazuma Azuma embarks on a quest to create Japan's own unique national bread. And being blessed with unusually warm hands that allow dough to ferment faster, Azuma is able to bring his baking innovations to another level. As he begins working at the prestigious Japanese bakery chain, Pantasia, Azuma encounters other talented bakers and experiences firsthand the competitive world of baking. Along with his newfound friends and rivals, Azuma strives to create new and unparalleled bread that will start a baking revolution.|Comedy, Shounen",2
26,Texhnolyze,TV,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,Original,R+ - Mild Nudity,823,54.70330357142858,"ai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942—The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain anonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined. (Source: ANN)|Action, Military, Sci-Fi, Historical, Drama, Seinen",2
28,Yakitate!! Japan,TV,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,Manga,PG-13 - Teens 13 or older,1666,45.90697865353038,"In the year 2015, more than a decade has passed since the catastrophic event known as Second Impact befell mankind. During this time of recovery, a select few learned of beings known as the Angels—colossal malevolent entities with the intention of triggering the Third Impact and wiping out the rest of humanity. Called into the city of Tokyo-3 by his father Gendou Ikari, teenager Shinji is thrust headlong into humanity's struggle. Separated from Gendou since the death of his mother, Shinji presumes that his father wishes to repair their shattered familial bonds; instead, he discovers that he was brought to pilot a giant machine capable of fighting the Angels, Evangelion Unit-01. Forced to battle against wave after wave of mankind's greatest threat, the young boy finds himself caught in the middle of a plan that could affect the future of humanity forever.|Drama, Mecha, Psychological, Sci-Fi",3
29,Zipang,TV,"Marvelous, TBS",Studio Deen,Manga,PG-13 - Teens 13 or older,3985,3.5682492012779554,"h the final Angel vanquished, Nerv has one last enemy left to face—the humans under Seele's command. Left in a deep depression nearing the end of the original series, an indecisive Shinji Ikari struggles with the ultimatum presented to him: to completely accept mankind's existence, or renounce humanity's individuality. Meanwhile, at the core of a compromised Nerv, Gendou Ikari and Rei Ayanami approach Lilith in an attempt to realize their own ideals concerning the future of the world. The End of Evangelion serves as an alternate ending to the polarizing final episodes of Neon Genesis Evangelion . With the fate of the universe hanging in the balance, the climactic final battle draws near.|Sci-Fi, Dementia, Psychological, Drama, Mecha",3
30,Neon Genesis Evangelion,TV,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",Original,PG-13 - Teens 13 or older,54,2622.0303846153843,"Born from the corpse of his mother, a young mercenary known only as Guts, embraces the battlefield as his only means of survival. Day in and day out, putting his life on the line just to make enough to get by, he moves from one bloodshed to the next. After a run-in with the Band of the Hawk, a formidable troop of mercenaries, Guts is recruited by their charismatic leader Griffith, nicknamed the ""White Hawk."" As he quickly climbed the ranks in order to become the head of the offensive faction, Guts proves to be a mighty addition to Griffith's force, taking Midland by storm. However, while the band's quest for recognition continues, Guts slowly realizes that the world is not as black-and-white as he once assumed. Set in the medieval era, Kenpuu Denki Berserk is a dark, gritty tale that follows one man's struggle to find his own path, while supporting another's lust for power, and the unimaginable tragedy that begins to turn the wheels of fate.|Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",1
31,Neon Genesis Evangelion: Death & Rebirth,Movie,"Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",Original,R - 17+ (violence & profanity),833,53.96581515499426,"In the year 2029, Niihama City has become a technologically advanced metropolis. Due to great improvements in cybernetics, its citizens are able to replace their limbs with robotic parts. The world is now more interconnected than ever before, and the city's Public Security Section 9 is responsible for combating corruption, terrorism, and other dangerous threats following this shift towards globalization. The strong-willed Major Motoko Kusanagi of Section 9 spearheads a case involving a mysterious hacker known only as the ""Puppet Master,"" who leaves a trail of victims stripped of their memories. Like many in this futuristic world, the Puppet Master's body is almost entirely robotic, giving them incredible power. As Motoko and her subordinates follow the enigmatic criminal's trail, other parties—including Section 6—start to get involved, forcing her to confront the extremely complicated nature of the case. Pondering about various philosophical questions, such as her own life's meaning, Motoko soon realizes that the one who will provide these answers is none other than the Puppet Master themself.|Action, Mecha, Police, Psychological, Sci-Fi, Seinen",2
32,Neon Genesis Evangelion: The End of Evangelion,Movie,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",Original,R+ - Mild Nudity,195,3012.926568627451,"hen mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute. Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man's heart is divided between justice and corruption, while the fate of a nation rests on his actions.|Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",5
33,Kenpuu Denki Berserk,TV,"VAP, Hakusensha, Nippon Television Network",OLM,Manga,R+ - Mild Nudity,301,1761.5860185185184,"In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans. Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels. Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals?|Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",5
43,Koukaku Kidoutai,Movie,"Bandai Visual, Kodansha",Production I.G,Manga,R+ - Mild Nudity,265,945.1249576271188,"The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desperate rebels have sworn to settle one final score. Only one man stands in their way: Kenshin Himura. But when Shigure discovers Kenshin's true identity as the Hitokiri Battousai, his fight becomes a personal vendetta. (Source: ANN)|Samurai, Historical, Drama, Shounen",5
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,Aniplex,Studio Deen,Manga,R - 17+ (violence & profanity),637,2829.711621621622,"Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns."" During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.|Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",2
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,"Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",Manga,PG-13 - Teens 13 or older,345,664.5550454545454,"oung wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, the Crimson Knights suspects him of being a hacker, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way. As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a ""guardian,"" which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand.|Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",1
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,"Fuji TV, Sony Music Entertainment",Gallop,Manga,R - 17+ (violence & profanity),2411,16.080286327845382,"hen college student Keiichi Morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the Goddess Hotline and a beautiful goddess named Belldandy appears out of a mirror in front of him. After getting kicked out of the dorm, Keiichi and Belldandy move to an old shrine and soon afterwards, Belldandy's sisters Urd and Skuld move in.|Comedy, Magic, Romance, Seinen, Supernatural",5
47,Akira,Movie,"Mainichi Broadcasting System, Kodansha, Toho",Tokyo Movie Shinsha,Manga,R+ - Mild Nudity,197,858.5614714714714,"In a world where humans can have their wish granted via the Goddess Help Hotline, a human, Keiichi Morisato, summons the Goddess Belldandy by accident and jokes that she should stay with him forever. Unfortunately for him, his ""wish"" is granted. Suddenly, Keiichi is now living with this gorgeous woman all alone, causing him to be kicked out of the all-male dormitory he was staying in. But soon, after they find lodging in a Buddhist temple, Keiichi and Belldandy's relationship begins to blossom. Although they are both awkward and rather uncomfortable with one another at first, what awaits these two strangers could turn out to be an unexpected romance.|Comedy, Supernatural, Magic, Romance, Seinen",5
48,.hack//Sign,TV,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,Original,PG-13 - Teens 13 or older,940,16.044366693788987,"Setsuna Mudo is a 16-year-old high school student just trying to get by without running afoul of his bullying seniors. It doesn't help that he's in love with his younger sister, Sara, who only sees him once a month. But there's more to his life than just keeping his head down. Setsuna is ambushed by mysterious beings, angels, and demons, all professing to know his true destiny. The angels say he is the reincarnation of their leader Alexiel, while the demons claim he led them to war against God himself. As Setsuna struggles with his identity in such strange times, the eternal conflict between Heaven and Hell threatens to reignite. Will he be prepared when it does?|Action, Drama, Romance, Shoujo, Supernatural",6
49,Aa! Megami-sama!,OVA,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AIC,Manga,PG-13 - Teens 13 or older,2360,10.082443845462713,"12-year-old Misaki Suzuhara has just gotten involved in Angelic Layer, a battling game using electronic dolls called angels. Even as a newbie, Misaki shows advanced skills as she meets new friends and enters Angelic Layer tournaments to fight the greatest Angelic Layer champions of the nation.|Sci-Fi, Comedy, Sports, Drama, Shounen",2
50,Aa! Megami-sama! (TV),TV,"Bandai Visual, TBS, Imagine",AIC,Manga,PG-13 - Teens 13 or older,1083,26.129087901701325,"Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kauru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.|Harem, Slice of Life, Comedy, Drama, Romance",5
51,Tenshi Kinryouku,OVA,"Bandai Visual, AIC, Lantis, Audio Tanaka",Hal Film Maker,Manga,R+ - Mild Nudity,2419,3.087631540378133,"Growing out of the chaos of a global war, the city of Utopia is populated by humans and bioroids (artificial humans). On the surface, everything is harmonious, but tensions lurk. Into this seemingly perfect society comes a survivor of the wars, Deunan Knute, who carries a legacy that will turn out to be of critical importance to the future of humanity. (Source: ANN)|Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",2
52,Kidou Tenshi Angelic Layer,TV,TV Tokyo Music,Bones,Manga,PG-13 - Teens 13 or older,2232,8.294290233293792,"The story follows Elk, a bounty hunter in some strange futuristic world. On this world archaic but advanced technology exists side by side with primitive attitudes, beasts and magic. In other words it's got a bit of everything. It also has an evil conspiracy who are able to produce powerful monsters called chimera, who can also appear as human. Naturally it is not long before Elk has rescued a young female beast-master and gained himself some serious enemies. (Source: ANN)|Action, Adventure, Fantasy, Horror, Sci-Fi",1
53,Ai Yori Aoshi,TV,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray",J.C.Staff,Manga,PG-13 - Teens 13 or older,1465,12.837164674634794,"ars has been colonized and is a world where children have been replaced by robot servants known as ""dolls."" Layla is a skilled fighter with a tragic past who travels about the world. Her companions are Nei, a strange and unique doll with some unknown ties to Layla, and Speedy, who is a doll breeder. The founders of Mars see the trio as a threat to their world, and each time they attack Layla and Nei a bit more of their mysterious past and future is revealed.|Adventure, Fantasy, Sci-Fi, Shounen",2
54,Appleseed (Movie),Movie,"Mainichi Broadcasting System, Toho, TYO Animations, TYO",Digital Frontier,Manga,R - 17+ (violence & profanity),1901,10.473393636930753,"Fourteen-year-old Yukio ""Koyuki"" Tanaka is a dispirited young boy with no goals in life. However, this all changes when Koyuki saves a strange-looking dog named Beck from being harassed by a group of local kids. The dog's owner, 16-year-old Ryuusuke ""Ray"" Minami, is an emerging guitarist and the former member of a popular rock band. After Koyuki meets Ray again in a diner, the older boy leads him to his former band's meeting place and dazzles Koyuki with his amazing guitar skills. Slowly becoming interested in the glamour of western rock culture, Koyuki decides to start playing the guitar while helping Ray achieve his dream of leading the ultimate rock band. Together with Ray's younger sister Maho and a few other members, the two boys launch their career into the world of rock by forming a band called BECK. Beck follows the group's struggles and successes as they spread their fame across Japan.|Comedy, Drama, Music, Shounen, Slice of Life",2
55,Arc the Lad,TV,"Sony Pictures Entertainment, Aniplex",Bee Train,Game,R - 17+ (violence & profanity),4259,0.8608800975949807,"Blue Gender takes place in the not too distant future in a world where things have gone terribly wrong for humanity. Humans have been replaced at the top of the food chain by the Blue, a race of bug-like aliens that have colonized Earth and pushed humans aside. A space station, Second Earth, has been constructed as a safe haven for humans, with the hope of one day reclaiming the Earth once more. Yuji Kaido was cryogenically frozen, having been suffering from a disease known as B-Cells. Once awakened, he joins a team of soldiers that have come to Earth to extract him. Unfortunately, nothing goes according to plan as they make their way back to Second Earth. Yuji will have to deal with the horrors of fighting a bloody war as he and the fighters from Second Earth look to survive. Will they be able to win back Earth without losing their humanity?|Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",3
56,Avenger,TV,Production I.G,"Bee Train, Xebec",Original,R - 17+ (violence & profanity),4073,0.6363616045171157,"hen computers start to look like humans, can love remain the same? Hideki Motosuwa is a young country boy who is studying hard to get into college. Coming from a poor background, he can barely afford the expenses, let alone the newest fad: Persocoms, personal computers that look exactly like human beings. One evening while walking home, he finds an abandoned Persocom. After taking her home and managing to activate her, she seems to be defective, as she can only say one word, ""Chii,"" which eventually becomes her name. Unlike other Persocoms, however, Chii cannot download information onto her hard drive, so Hideki decides to teach her about the world the old-fashioned way, while studying for his college entrance exams at the same time. Along with his friends, Hideki tries to unravel the mystery of Chii, who may be a ""Chobit,"" an urban legend about special units that have real human emotions and thoughts, and love toward their owner. But can romance flourish between a Persocom and a human?|Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",5
57,Beck,TV,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Madhouse,Manga,R - 17+ (violence & profanity),570,441.0041176470588,"The 1920s was a decade of great change and upheaval, with monstrous demons appearing across America. To combat this menace, the holy organization known as the Order of Magdalene was established. The organization's New York branch is home to the young and reckless Sister Rosette Christopher, as well as her partner Chrno. Tasked with the extermination of demonic threats, the renowned team is excellent at their job, despite causing extensive collateral damage on their missions. However, both Rosette and Chrno are driven by their dark pasts. Through exterminating demons, Rosette hopes to find her lost brother Joshua who was taken by the sinner and demon, Aion, with whom Chrno also shares a bloody history. The two of them must fight off the increasingly dangerous demonic menace and discover its source, while continuing to search for the truth behind Joshua's disappearance.|Action, Demons, Historical, Romance, Shounen, Supernatural",1
